filename,Descriptors__MaxAbsEStateIndex,Descriptors__MinAbsEStateIndex,Descriptors__MinEStateIndex,Descriptors__qed,Descriptors__SPS,Descriptors__MaxPartialCharge,Descriptors__MinPartialCharge,Descriptors__BCUT2D_MWHI,Descriptors__BCUT2D_LOGPLOW,Descriptors__BCUT2D_MRLOW,Descriptors__AvgIpc,Descriptors__BalabanJ,Descriptors__BertzCT,Descriptors__Chi4v,Descriptors__Ipc,Descriptors__Kappa2,Descriptors__PEOE_VSA6,Descriptors__PEOE_VSA7,Descriptors__PEOE_VSA9,Descriptors__SMR_VSA10,Descriptors__SMR_VSA2,Descriptors__SMR_VSA6,Descriptors__SMR_VSA7,Descriptors__SlogP_VSA1,Descriptors__SlogP_VSA12,Descriptors__SlogP_VSA3,Descriptors__SlogP_VSA6,Descriptors__EState_VSA10,Descriptors__EState_VSA8,Descriptors__VSA_EState10,Descriptors__VSA_EState5,Descriptors__VSA_EState6,Descriptors__VSA_EState8,Descriptors__FractionCSP3,Descriptors__NHOHCount,Descriptors__fr_Al_COO,Descriptors__fr_C_O_noCOO,Descriptors3D__Eccentricity,Descriptors3D__InertialShapeFactor,Descriptors3D__NPR2,Descriptors3D__PMI1,Descriptors3D__PMI2,Descriptors3D__SpherocityIndex
PEG,7.677845241,3.405978974,-4.462499691,0.35308032,40.21052632,0.21015563,-0.393980325,16.56050547,-2.135567348,-0.015119426,2.742697642,6.234140056,932.2482804,0.335910924,155358295.0,17.72,0.0,0.0,111.6060283,0.0,2.862399314,78.70782291,0.0,0.0,0.0,23.68431477,0.0,0.0,33.90193115,0.0,0.0,0.0,-50.57628953,1.0,2,0,0,0.999967114,0.010027026,0.995920171,99.32358188,12197.18824,0.030861884
PL,8.37474537,0.481571397,-0.822757149,0.300507137,16.81818182,0.401735246,-0.507449955,16.35804339,-1.832375301,0.367585816,2.796530469,2.598151127,1222.80277,1.727428766,16092802.38,4.589937947,0.0,0.0,18.45966298,10.96924436,8.587197943,0.0,30.21209354,0.0,0.0,0.0,34.62924448,0.0,30.65284915,0.0,-5.185867464,-3.883949669,0.0,0.0,6,0,0,0.982640211,0.000970452,0.814518076,839.3183015,3684.963952,8.96e-05
TBT,8.042824074,1.093263416,-3.822326153,0.529304845,37.45454545,0.062862667,-0.061709886,14.16541043,-2.101256518,0.589520222,2.343876181,4.421963063,691.3905998,0.53125,131482.0782,2.689337151,50.28880267,17.83033408,5.483034225,0.0,0.0,0.0,35.29657781,0.0,0.0,5.414990469,24.16967483,0.0,0.0,0.0,0.0,-4.92659675,-14.70667989,0.454545455,0,0,0,0.947690708,0.00311712,0.820362725,263.1796886,676.4082112,0.287002859
TCB,7.270740741,0.080864198,-0.267530864,0.536102155,14.33333333,0.065473842,-0.084287094,35.49901419,-1.659379504,1.704596868,2.081571824,3.603567451,232.3030902,0.773424318,416.3143648,2.782200282,34.80281967,18.12725612,14.1575423,34.80281967,0.0,0.0,33.19515606,0.0,34.80281967,0.0,18.12725612,0.0,0.0,16.61716049,0.0,-0.719382716,0.0,0.0,0,0,0,0.969705485,0.00271375,0.755723264,278.4793394,861.5353963,5.08e-07
TDE,8.052807238,1.711548068,-4.893937193,0.302902879,51.71428571,0.056959607,-0.103082979,13.9719414,-1.806986116,0.557516162,2.754833026,7.450588046,1031.315196,0.3125,43803194.98,12.74,70.26028798,12.7458498,4.112275669,0.0,0.0,0.0,12.58311071,0.0,0.0,0.0,12.58311071,0.0,0.0,0.0,0.0,-1.859847388,-5.737808874,0.857142857,0,0,0,0.999869149,0.011668771,0.994522033,85.22937101,5239.802705,0.056037064
UDE,7.900977891,3.950866455,-4.705017007,0.452617751,56.72727273,0.026652986,-0.065382383,13.94955588,-1.786816921,0.572083079,2.576582922,7.151385139,710.2725315,0.21875,2043433.807,10.0,71.06010835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.90173291,1.0,0,0,0,0.999696309,0.014914369,0.988272602,66.26311676,2657.363621,0.074051086
hexane,7.389583333,3.602508503,-3.913541667,0.462954281,57.33333333,0.026642709,-0.065382385,13.81562221,-1.657035798,0.701864202,2.123974153,6.082753304,318.8408681,0.0625,4286.179841,5.0,39.19548384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.205017007,1.0,0,0,0,0.997194014,0.027801226,0.965727288,34.73685993,448.1178218,0.19295822
mesitylene,7.696990741,0.962268519,-3.025925926,0.493392712,33.33333333,0.062831404,-0.056365285,13.93108972,-1.776682552,1.322148357,2.072472133,4.041188782,456.0250784,0.46875,10561.31799,2.218872017,34.8176106,20.55567635,4.112275669,0.0,0.0,0.0,34.8176106,0.0,0.0,0.0,18.12725612,0.0,0.0,0.0,0.0,-3.005555556,-9.077777778,0.333333333,0,0,0,0.861812393,0.001755876,0.509375037,290.0974052,291.325832,0.085786244
octane,7.64375,3.78205428,-4.291666667,0.480610605,57.0,0.026652817,-0.065382383,13.89465923,-1.734405856,0.624494144,2.340842372,6.612913906,468.2896327,0.125,51528.96314,7.0,51.94133364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.56410856,1.0,0,0,0,0.999007718,0.020723986,0.979111815,47.24534244,1038.643276,0.12506327
squalane,8.969893096,4.721171448,-6.155543553,0.161239106,62.66666667,0.029984786,-0.062773609,14.14719544,-2.013993785,0.368682765,0.667963616,9.656127257,2428.789725,0.9375,8.86e+21,19.66782007,156.7819354,35.36374611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.33989077,0.0,-40.66831088,1.0,0,0,0,0.999690916,0.001189112,0.988712198,831.4711726,33067.1948,0.03757033
tetralin,7.884837963,0.817883125,-3.338567649,0.508629721,54.0,0.062570488,-0.061974403,14.10849832,-2.003193075,0.685465716,2.372525636,3.110019923,601.6062008,0.6875,30266.30953,2.451790186,24.16967483,36.61860259,5.483034225,0.0,0.0,0.0,35.29657781,0.0,0.0,12.7458498,24.16967483,0.0,0.0,0.0,0.0,-3.433451436,0.0,0.4,0,0,0,0.954644155,0.004032634,0.736148593,182.5478226,451.3273566,0.147066502
toluene,7.358449074,0.585185185,-2.700925926,0.45880628,26.85714286,0.062549718,-0.062249086,13.78210528,-1.622155593,1.475756642,2.094639701,3.68073572,375.4268163,0.25,1235.837423,1.78328604,35.77554503,6.851892117,6.853792781,0.0,0.0,0.0,35.77554503,0.0,0.0,0.0,30.21209354,0.0,0.0,0.0,0.0,-3.162731481,-2.700925926,0.142857143,0,0,0,0.948719525,0.00757474,0.694815301,91.72793914,201.613832,0.058591982
