Z_product,Z_joint,Z_ops,T_inj,T_rea,t,alpha_inorg,beta_inorg,alpha_org,beta_org,Size
1.1545055,-0.5783886,-0.9332685,220.0,220.0,40.0,0.7923239,0.20767611,0.66618836,0.33381158,12.82
2.5974307,-1.5269805,-0.49760067,230.0,230.0,0.583,0.77255183,0.22744818,0.7026535,0.29734647,2.8
-3.256619,-0.3333578,-0.33059567,200.0,200.0,10.0,0.7909605,0.20903951,0.6890301,0.31096992,18.72
-5.4711776,0.23377204,-1.5434659,25.0,280.0,60.0,0.8152249,0.18477511,0.733924,0.266076,27.03
-0.6356275,-1.61814,-0.6824295,210.0,210.0,30.0,0.793461,0.20653893,0.67325884,0.32674116,5.9
-4.111349,1.2206804,0.107611805,25.0,150.0,30.0,0.83958346,0.16041653,0.69924796,0.30075204,30.539999
-0.31361422,-1.1721323,-1.5525372,25.0,300.0,60.0,0.8096656,0.19033433,0.74263006,0.25737,18.56
-2.1672978,-1.8320714,1.0262663,140.0,133.0,2.0,0.8175812,0.18241878,0.6813916,0.31860843,13.5
1.1545055,-0.33672115,0.93464243,140.0,140.0,5.0,0.81666446,0.18333557,0.68216664,0.31783336,8.43
0.84679663,-1.6462272,-0.51155293,170.0,170.0,180.0,0.85739404,0.14260596,0.5195551,0.4804449,5.5
-1.9083992,-0.44369307,-0.4889673,230.0,230.0,0.167,0.7723901,0.22760984,0.70300686,0.2969932,21.85
0.71945286,-1.4471585,1.0029569,130.0,130.0,0.3,0.81943977,0.18056029,0.6844205,0.31557944,3.4800003
0.84679663,-0.7203273,1.1030369,110.0,110.0,5.0,0.82935053,0.17064944,0.67648405,0.32351598,6.11
1.1545055,-1.4821533,0.017527033,180.0,180.0,1.166,0.79726195,0.20273802,0.69298637,0.30701363,5.61
-1.8703847,-0.46586487,-0.4889673,230.0,230.0,0.167,0.7723901,0.22760984,0.70300686,0.2969932,18.33
1.976955,-0.08301778,0.2415279,105.0,105.0,180.0,0.8789555,0.12104453,0.50543475,0.49456525,8.7300005
1.1545055,-0.49346614,-1.2540947,200.0,200.0,60.0,0.80865633,0.19134368,0.6438886,0.35611138,13.8
-1.704436,-1.446916,0.6918168,160.0,160.0,0.0833,0.8061141,0.19388592,0.690216,0.30978394,19.1
3.3381593,-0.2543427,-1.0416892,25.0,280.0,30.0,0.80502117,0.19497882,0.75705624,0.24294376,3.5000002
-1.704436,-1.4568847,-0.077285394,190.0,190.0,0.0167,0.79210925,0.20789075,0.69582325,0.30417675,14.89
-1.1697581,-0.74310714,-1.2332882,275.0,275.0,5.0,0.750609,0.249391,0.70705736,0.29294258,22.22
-2.2685244,-1.8554455,-1.0416892,25.0,280.0,30.0,0.80502117,0.19497882,0.75705624,0.24294376,12.36
0.5727593,-1.5910126,-0.9898233,280.0,260.0,2.0,0.75346774,0.24653228,0.7011168,0.2988832,7.78
-2.128384,-1.3966275,-1.2282672,280.0,280.0,3.0,0.74704605,0.25295392,0.7096357,0.29036433,8.58
-0.044617105,-0.9080696,-1.6206565,310.0,300.0,20.0,0.7410891,0.25891083,0.69594187,0.30405807,12.74
0.58865166,-1.2164038,0.46595794,191.0,150.0,5.0,0.80543214,0.19456783,0.67166406,0.32833594,7.0
1.1545055,-0.4912228,-0.84769416,180.0,180.0,20.0,0.80391127,0.19608878,0.67645687,0.32354307,13.42
-0.93548656,-2.0073168,-0.84769416,180.0,180.0,20.0,0.80391127,0.19608878,0.67645687,0.32354307,7.3
-2.182239,-1.6209321,1.0600804,120.0,120.0,10.0,0.8267904,0.17320956,0.67393243,0.32606757,11.5
-0.4497602,-1.0870173,-1.6948323,170.0,220.0,120.0,0.8277701,0.1722299,0.6070377,0.39296225,18.0
-1.4500655,-0.50004977,0.59156406,160.0,160.0,5.0,0.80780786,0.19219209,0.68592525,0.31407478,9.15
1.096136,-1.1556461,-0.5677371,25.0,230.0,30.0,0.8189413,0.18105873,0.7357429,0.26425713,7.42
